Issue Type,Summary,Issue key,Issue id,Status,Priority,Resolution,Created,Resolved,Custom field (Actual Start  Time),Custom field (Actual End Time),Custom field (End Time),Custom field (Start Time),Custom field (Customer),Custom field (Deployment Success),Customer Request Type,Assignee,Labels,Labels,Labels
Customer Service Request,Request for new certificate,SMXBID-2708,116001,Resolved,Minor,Done,07/Oct/21 13:11,11/Oct/21 13:17,,,,,,,New Account & Certificate Requests,oh856,XBID-ServiceDesk,,
Customer Service Request,Request - TC540 - EPEX ,SMXBID-2707,115994,Resolved,Minor,Done,07/Oct/21 11:22,15/Oct/21 09:13,,,,,,,Request for Historical or Archival Data,oh856,XBID-ServiceDesk,,
Customer Service Request,DBAG JIRA access for ELIA,SMXBID-2706,115946,Closed,Minor,,06/Oct/21 12:11,,,,,,,,New Account & Certificate Requests,mv635,XBID-ServiceDesk,,
Incident,MINOR INCIDENT/ SOB-LTS/ ComTrader / HUPX(NEMO),SMXBID-2705,115921,Closed,Minor,Rejected,06/Oct/21 09:54,06/Oct/21 10:11,,,,,,, Minor Incident,yn731,XBID-ServiceDesk,,
Customer Service Request,Expiration certificate account CXELIA05 (CMM prod environment),SMXBID-2704,115894,Resolved,Minor,Done,06/Oct/21 02:56,06/Oct/21 09:08,,,,,,,New Account & Certificate Requests,oh856,XBID-ServiceDesk,,
Customer Service Request,Expiration certificate SMELIA05 (prod environment),SMXBID-2703,115893,Resolved,Minor,Done,06/Oct/21 02:53,06/Oct/21 09:09,,,,,,,New Account & Certificate Requests,oh856,XBID-ServiceDesk,,
Customer Service Request,Prod SOB passwords expired,SMXBID-2702,115865,Resolved,Minor,Done,05/Oct/21 10:59,05/Oct/21 11:26,,,,,,,Password Reset & Account Unlock,oh856,XBID-ServiceDesk,,
Problem,OCC - ACK missing on multiple APG borders,SMXBID-2701,115858,Resolved,Minor,Resolved,05/Oct/21 10:24,11/Oct/21 13:25,,,,,,,Report a problem or bug,oh856,XBID-ServiceDesk,,
Customer Service Request,"XBID Production Cert Request for SM, EMCO/IBEX",SMXBID-2700,115855,Closed,Minor,Done,05/Oct/21 10:04,05/Oct/21 11:30,,,,,,,New Account & Certificate Requests,oh856,XBID-ServiceDesk,,
Problem,"JIRA | Not possible to create a new ticket (Specs clarification)",SMXBID-2699,115851,Closed,Minor,Not a Bug,05/Oct/21 09:22,05/Oct/21 09:39,,,,,,,Report a problem or bug,oh856,XBID-ServiceDesk,,
Customer Service Request,"XBID (prod) Cert Request for (CMM),(RTE)",SMXBID-2698,115844,Resolved,Minor,Done,04/Oct/21 16:51,05/Oct/21 12:42,,,,,,,New Account & Certificate Requests,oh856,XBID-ServiceDesk,,
Customer Service Request,JIRA account for Indra PMO,SMXBID-2697,115835,Closed,Minor,,04/Oct/21 15:00,,,,,,,,New Account & Certificate Requests,mv635,XBID-ServiceDesk,,
Customer Service Request, certificates for access CMM and SM will expire,SMXBID-2695,115800,Resolved,Minor,Done,04/Oct/21 10:20,05/Oct/21 11:22,,,,,,,New Account & Certificate Requests,oh856,XBID-ServiceDesk,,
Customer Service Request,CMM and SM access problem,SMXBID-2694,115784,Resolved,Minor,Done,03/Oct/21 12:08,04/Oct/21 09:35,,,,,,,New Account & Certificate Requests,yn731,XBID-ServiceDesk,,
Customer Service Request,"Request for IBEX SOB, SM Prod user certificates",SMXBID-2693,115776,Resolved,Minor,Done,02/Oct/21 22:52,04/Oct/21 10:27,,,,,,,New Account & Certificate Requests,yn731,XBID-ServiceDesk,,
Customer Service Request,Explicit Participant creation,SMXBID-2692,115771,Resolved,Minor,Done,02/Oct/21 14:29,04/Oct/21 10:12,,,,,,,New Account & Certificate Requests,yn731,XBID-ServiceDesk,,
Customer Service Request,"Production env., Cert. request for SM WS; OTE",SMXBID-2691,115759,Closed,Minor,Done,01/Oct/21 16:54,04/Oct/21 09:45,,,,,,,New Account & Certificate Requests,yn731,XBID-ServiceDesk,,
Customer Service Request,"XBID Prod Cert Request for CMM, REE (TSO) - CMMOPER3",SMXBID-2690,115707,Resolved,Minor,Done,30/Sep/21 17:38,04/Oct/21 09:32,,,,,,,New Account & Certificate Requests,yn731,XBID-ServiceDesk,,
Customer Service Request,Account Unlock in JIRA,SMXBID-2689,115702,Closed,Minor,Done,30/Sep/21 16:13,30/Sep/21 16:17,,,,,,,Password Reset & Account Unlock,ub113,XBID-ServiceDesk,,
Customer Service Request,"Production env., Cert. request for SM CCP ADMIN User; OTE",SMXBID-2688,115699,Closed,Minor,Done,30/Sep/21 15:20,08/Oct/21 09:59,,,,,,,New Account & Certificate Requests,yn731,XBID-ServiceDesk,,
Customer Service Request,Certificate renewal,SMXBID-2687,115697,Resolved,Minor,Done,30/Sep/21 15:00,30/Sep/21 16:41,,,,,,,New Account & Certificate Requests,yn731,XBID-ServiceDesk,,
Customer Service Request,Renewal of digital certificates for access SM ,SMXBID-2686,115688,Resolved,Minor,Done,30/Sep/21 10:54,30/Sep/21 13:54,,,,,,,New Account & Certificate Requests,ub113,XBID-ServiceDesk,,
Customer Service Request,"XBID (PROD) Cert Request for (IMT, JIRA),(OTE)",SMXBID-2685,115670,Closed,Minor,Done,30/Sep/21 09:54,30/Sep/21 14:19,,,,,,,New Account & Certificate Requests,ub113,XBID-ServiceDesk,,
Customer Service Request,CCP type regional or competing,SMXBID-2684,115658,Closed,Minor,,29/Sep/21 17:51,,,,,,,,Information Request,ub113,XBID-ServiceDesk,,
Customer Service Request,georgi.mumdjiev@eso.bg's account is locked please unlock,SMXBID-2683,115586,Closed,Minor,Resolved,28/Sep/21 11:48,29/Sep/21 08:20,,,,,,,Password Reset & Account Unlock,yn731,XBID-ServiceDesk,,
Customer Service Request,"XBID Production Cert Request for SM, EMCO",SMXBID-2682,115580,Closed,Minor,Done,28/Sep/21 10:42,29/Sep/21 08:49,,,,,,,New Account & Certificate Requests,yn731,XBID-ServiceDesk,,
Customer Service Request, certificates for access CMM and SM will expire,SMXBID-2681,115574,Closed,Minor,Done,28/Sep/21 09:28,29/Sep/21 09:00,,,,,,,New Account & Certificate Requests,yn731,XBID-ServiceDesk,,
Customer Service Request,"XBID PROD Cert Request for SM, PSE",SMXBID-2680,115515,Resolved,Minor,Done,27/Sep/21 10:00,14/Oct/21 15:26,,,,,,,New Account & Certificate Requests,ub113,XBID-ServiceDesk,,
Customer Service Request,"XBID PROD Cert Request for SM, PSE",SMXBID-2679,115514,Resolved,Minor,Done,27/Sep/21 09:57,14/Oct/21 15:22,,,,,,,New Account & Certificate Requests,ub113,XBID-ServiceDesk,,
Customer Service Request,"XBID PROD Cert Request for CMM, PSE",SMXBID-2678,115510,Resolved,Minor,Done,27/Sep/21 09:44,27/Sep/21 16:12,,,,,,,New Account & Certificate Requests,yn731,XBID-ServiceDesk,,
Customer Service Request,"XBID PROD Cert Request for CMM, PSE",SMXBID-2677,115509,Resolved,Minor,Done,27/Sep/21 09:40,14/Oct/21 15:16,,,,,,,New Account & Certificate Requests,ub113,XBID-ServiceDesk,,
Customer Service Request,the certificate expired DBAG,SMXBID-2676,115496,Closed,Minor,Resolved,25/Sep/21 00:27,06/Oct/21 15:38,,,,,,,New Account & Certificate Requests,ub113,XBID-ServiceDesk,,
Incident,Missing reports in SOB WebGUI,SMXBID-2675,115471,Resolved,Minor,Resolved,24/Sep/21 12:10,24/Sep/21 21:47,,,,,,, Minor Incident,yn731,XBID-ServiceDesk,,
Customer Service Request,"XBID (PROD) Account and Cert Request for (IMT); (OTE) ",SMXBID-2674,115419,Closed,Minor,Done,23/Sep/21 12:17,27/Sep/21 16:39,,,,,,,New Account & Certificate Requests,yn731,XBID-ServiceDesk,,
Customer Service Request,ELES certificates for access CMM and SM will expire,SMXBID-2673,115404,Closed,Minor,Resolved,23/Sep/21 09:07,24/Sep/21 10:40,,,,,,,New Account & Certificate Requests,ub113,XBID-ServiceDesk,,
Customer Service Request,Certificate renewal for AST users web access,SMXBID-2672,115402,Resolved,Minor,Done,23/Sep/21 08:50,14/Oct/21 14:27,,,,,,,New Account & Certificate Requests,ub113,XBID-ServiceDesk,,
Customer Service Request,Reset of the XBID Shipping module password,SMXBID-2670,115396,Closed,Minor,Resolved,22/Sep/21 16:41,25/Sep/21 09:15,,,,,,,Password Reset & Account Unlock,yn731,XBID-ServiceDesk,,
Customer Service Request,"XBID PROD Cert Request, SM/SOB, BSP",SMXBID-2669,115385,Resolved,Minor,Done,22/Sep/21 15:08,24/Sep/21 10:49,,,,,,,New Account & Certificate Requests,ub113,XBID-ServiceDesk,,
Customer Service Request,New IMT users and client certificates for TSO TERNA,SMXBID-2667,115270,Resolved,Minor,Done,20/Sep/21 15:25,21/Sep/21 10:35,,,,,,,New Account & Certificate Requests,oh856,XBID-ServiceDesk,,
Customer Service Request,Creation of XBID Client Certificates for CMM and SM production environment,SMXBID-2666,115268,Resolved,Minor,Done,20/Sep/21 15:16,21/Sep/21 10:28,,,,,,,New Account & Certificate Requests,yn731,XBID-ServiceDesk,,
Customer Service Request,"Production env., Cert. request for SM CCP ADMIN User; OTE",SMXBID-2665,115258,Closed,Minor,Done,20/Sep/21 13:20,21/Sep/21 10:44,,,,,,,New Account & Certificate Requests,yn731,XBID-ServiceDesk,,
Customer Service Request,"Production env., Cert. request for SOB ADMIN User; OTE",SMXBID-2664,115256,Closed,Minor,Done,20/Sep/21 13:10,20/Sep/21 13:29,,,,,,,New Account & Certificate Requests,oh856,XBID-ServiceDesk,,
Customer Service Request,Expired certificates,SMXBID-2663,115243,Resolved,Minor,Done,20/Sep/21 09:56,27/Sep/21 09:43,,,,,,,Password Reset & Account Unlock,ub113,XBID-ServiceDesk,,
Customer Service Request,New account and certificate,SMXBID-2662,115242,Resolved,Minor,Done,20/Sep/21 09:45,21/Sep/21 13:28,,,,,,,New Account & Certificate Requests,yn731,XBID-ServiceDesk,,
Incident,Minor Incident/ SOB/ OTE(NEMO)/Orders were not hibernated,SMXBID-2660,115222,Closed,Minor,Not a Bug,18/Sep/21 02:02,25/Sep/21 09:15,,,,,,, Minor Incident,yn731,XBID-ServiceDesk,,
Customer Service Request,"XBID PROD Cert Request for CMM, ELERING AS",SMXBID-2659,115219,Resolved,Minor,Done,17/Sep/21 15:57,20/Sep/21 10:35,,,,,,,New Account & Certificate Requests,yn731,XBID-ServiceDesk,,
Incident,MINOR / SOB / PMI / EMCO[NEMO] / RabbitMQ disconnection,SMXBID-2657,115179,Closed,Minor,Not a Bug,16/Sep/21 15:20,05/Oct/21 15:03,,,,,,, Minor Incident,yn731,XBID-ServiceDesk,,
Customer Service Request,"XBID PROD Cert Request for SOB, CMM, SM, ComTrader, TGE",SMXBID-2656,115153,Resolved,Minor,Done,16/Sep/21 12:37,16/Sep/21 14:57,,,,,,,New Account & Certificate Requests,yn731,XBID-ServiceDesk,,
Customer Service Request,IMT user certificate fro CEPS,SMXBID-2653,115129,Resolved,Minor,Done,16/Sep/21 09:26,20/Sep/21 14:47,,,,,,,New Account & Certificate Requests,ub113,XBID-ServiceDesk,,
Customer Service Request,Request for new TTG certificates,SMXBID-2652,115120,Resolved,Minor,Done,15/Sep/21 14:54,16/Sep/21 08:34,,,,,,,New Account & Certificate Requests,yn731,XBID-ServiceDesk,,
Customer Service Request,Certificate renewal,SMXBID-2651,114848,Resolved,Minor,Done,14/Sep/21 10:02,20/Sep/21 14:36,,,,,,,New Account & Certificate Requests,ub113,XBID-ServiceDesk,,
Incident,TELADM03 password has expired,SMXBID-2650,114791,Resolved,Minor,Not a Bug,11/Sep/21 22:08,06/Oct/21 15:35,,,,,,, Major Incident,,XBID-ServiceDesk,,
Customer Service Request,IMT user account for Elering,SMXBID-2649,114782,Resolved,Minor,Done,10/Sep/21 15:08,14/Sep/21 13:58,,,,,,,New Account & Certificate Requests,ub113,XBID-ServiceDesk,,
Customer Service Request,IMT certificate password,SMXBID-2648,114757,Resolved,Minor,Done,10/Sep/21 13:24,20/Sep/21 09:35,,,,,,,Password Reset & Account Unlock,yn731,XBID-ServiceDesk,,
Customer Service Request,sFTP access - new IP for ČEPS system ,SMXBID-2647,114736,Resolved,Minor,Done,09/Sep/21 14:34,12/Oct/21 15:42,,,,,,,New Account & Certificate Requests,yn731,XBID-ServiceDesk,,
Customer Service Request,New IMT users and client certificates for TSO TERNA,SMXBID-2646,114716,Resolved,Minor,Done,09/Sep/21 11:03,15/Sep/21 10:10,,,,,,,New Account & Certificate Requests,ub113,XBID-ServiceDesk,,
Customer Service Request,cancellation of JIRA account,SMXBID-2645,114714,Resolved,Minor,Done,09/Sep/21 10:17,09/Sep/21 11:02,,,,,,,New Account & Certificate Requests,,XBID-ServiceDesk,,
Incident,Connection to production sFTP errors,SMXBID-2643,114690,Resolved,Minor,Resolved,08/Sep/21 15:34,10/Sep/21 14:59,,,,,,, Minor Incident,oh856,XBID-ServiceDesk,,
Customer Service Request,Service Request / IMT-JIRA certificates / OMIE (NEMO),SMXBID-2642,114670,Closed,Minor,Done,08/Sep/21 13:29,14/Sep/21 15:10,,,,,,,New Account & Certificate Requests,ub113,XBID-ServiceDesk,,
Customer Service Request,"XBID (PROD) Cert Request for( CMM and SM), (MAVIR)",SMXBID-2641,114667,Resolved,Minor,Done,08/Sep/21 12:18,08/Sep/21 14:08,,,,,,,New Account & Certificate Requests,oh856,XBID-ServiceDesk,,
Incident,Minor Incident- SOB- LTS Issue - EPEX - Task Check TC540 report (orders) against XSD Schema failed,SMXBID-2640,114617,Resolved,Minor,Resolved,08/Sep/21 06:55,14/Sep/21 08:50,,,,,,, Minor Incident,oh856,XBID-ServiceDesk,,
Incident,Allocation without ATC,SMXBID-2639,114600,Closed,Minor,Resolved,07/Sep/21 15:35,05/Oct/21 10:51,,,,,,, Minor Incident,ub113,XBID-ServiceDesk,,
Customer Service Request,Service Request / SOB-CMM-SM / WebGUI / OMIE (NEMO),SMXBID-2637,114538,Closed,Minor,Done,06/Sep/21 13:10,06/Sep/21 14:14,,,,,,,New Account & Certificate Requests,oh856,XBID-ServiceDesk,,
Customer Service Request,"Production env., Cert. request for SOB ADMIN User; OTE",SMXBID-2636,114507,Closed,Minor,Done,06/Sep/21 11:54,07/Sep/21 08:44,,,,,,,New Account & Certificate Requests,oh856,XBID-ServiceDesk,,
Customer Service Request,"XBID Prod Cert Request for CMM, REE (TSO) - CMMOPER2",SMXBID-2635,114500,Closed,Minor,Done,06/Sep/21 10:17,06/Sep/21 14:10,,,,,,,New Account & Certificate Requests,oh856,XBID-ServiceDesk,,
Customer Service Request,Configuration changes,SMXBID-2634,114499,Resolved,Minor,Done,06/Sep/21 10:14,06/Sep/21 11:19,,,,,,,AlarmTilt Requests,oh856,XBID-ServiceDesk,,
Customer Service Request,Register e-mails to ICCC invitations sent by AlarmTilt,SMXBID-2633,114478,Closed,Minor,Resolved,03/Sep/21 13:43,15/Sep/21 10:47,,,,,,,AlarmTilt Requests,ub113,XBID-ServiceDesk,,
Customer Service Request,Certificate renewal for ESO,SMXBID-2632,114472,Closed,Minor,Done,03/Sep/21 11:54,13/Sep/21 15:13,,,,,,,New Account & Certificate Requests,ub113,XBID-ServiceDesk,,
Customer Service Request,test ticket ,SMXBID-2631,114471,Closed,Minor,Done,03/Sep/21 11:46,14/Sep/21 12:10,,,,,,,New Account & Certificate Requests,ub113,XBID-ServiceDesk,,
Customer Service Request,Unable to submit service request ticket in IMT,SMXBID-2630,114442,Closed,Minor,Resolved,02/Sep/21 14:10,03/Sep/21 12:40,,,,,,,XBID Service Desk (IMT) Questions & Issues,ub113,XBID-ServiceDesk,,
Customer Service Request,Password Reset - CUTE Px CTPC,SMXBID-2629,114436,Closed,Minor,Not a Bug,02/Sep/21 12:55,02/Sep/21 13:08,,,,,,,Password Reset & Account Unlock,wn626,XBID-ServiceDesk,,
Maintenance,SIDC - PROD - DBAG's maintenance notification.,SMXBID-2627,114424,Closed,Minor,Done,02/Sep/21 09:30,04/Oct/21 08:48,,,,,,,Maintenance Notification,yn731,XBID-ServiceDesk,,
Customer Service Request,Password request for existing certificate and ticket in SMXBID-2616,SMXBID-2626,114367,Resolved,Minor,Done,01/Sep/21 10:53,01/Sep/21 13:07,,,,,,,Information Request,oh856,XBID-ServiceDesk,,
Customer Service Request,User certificate renewal,SMXBID-2625,114327,Closed,Trivial,Done,31/Aug/21 14:36,01/Sep/21 09:21,,,,,,,New Account & Certificate Requests,oh856,XBID-ServiceDesk,,
Incident,Minor Incident - SOB - LTS issue - OPCOM [NEMO],SMXBID-2624,114301,Closed,Minor,Not a Bug,31/Aug/21 12:00,24/Sep/21 14:28,,,,,,, Minor Incident,oh856,XBID-ServiceDesk,,
Customer Service Request,"XBID (PROD) Cert Request for CMM, Energinet",SMXBID-2623,114282,Resolved,Trivial,Resolved,31/Aug/21 11:16,01/Sep/21 09:20,,,,,,,New Account & Certificate Requests,oh856,XBID-ServiceDesk,,
Customer Service Request,PROD - SLA Report tool upgrade,SMXBID-2622,114235,Resolved,Minor,Resolved,30/Aug/21 13:36,01/Sep/21 09:37,,,,,,,Information Request,oh856,XBID-ServiceDesk,,
Customer Service Request,SIDC - PROD - SDC maintenance 2021,SMXBID-2618,114133,Resolved,Minor,Duplicate,26/Aug/21 09:07,26/Aug/21 12:32,,,,,,,Information Request,yn731,XBID-ServiceDesk,,
Customer Service Request,"XBID PROD Cert Request for XBID SOB/SM, BSP",SMXBID-2617,114073,Resolved,Trivial,Done,24/Aug/21 15:15,24/Aug/21 17:05,,,,,,,New Account & Certificate Requests,yn731,XBID-ServiceDesk,,
Customer Service Request,API/PMI USER Certificate ,SMXBID-2616,114054,Resolved,Trivial,Done,24/Aug/21 11:44,25/Aug/21 14:39,,,,,,,New Account & Certificate Requests,oh856,XBID-ServiceDesk,,
Customer Service Request,"Request of certificates renewal for EPEX SM, SOB and CMM users ",SMXBID-2614,114043,Resolved,Trivial,Done,24/Aug/21 10:51,25/Aug/21 14:40,,,,,,,New Account & Certificate Requests,oh856,XBID-ServiceDesk,,
Customer Service Request,"PROD CErt request for SOB,OPCOM",SMXBID-2613,114035,Resolved,Trivial,Done,24/Aug/21 09:47,24/Aug/21 12:53,,,,,,,New Account & Certificate Requests,yn731,XBID-ServiceDesk,,
Customer Service Request,"XBID (PROD) Cert Request for (SM, SOB),(OTE)",SMXBID-2612,113982,Resolved,Trivial,Done,23/Aug/21 09:39,24/Aug/21 12:40,,,,,,,New Account & Certificate Requests,yn731,XBID-ServiceDesk,,
Incident,MINOR/SM Connection and certificate errors in logs causing alerts,SMXBID-2611,113957,Closed,Minor,Done,20/Aug/21 11:31,20/Aug/21 16:37,,,,,,, Minor Incident,oh856,XBID-ServiceDesk,,
Incident,Minor Incident - SM - SM files - EPEX,SMXBID-2610,113954,Resolved,Minor,Resolved,20/Aug/21 10:59,13/Sep/21 09:29,,,,,,, Minor Incident,oh856,XBID-ServiceDesk,,
Customer Service Request,XBID (PROD) Cert Request for SM and CMM (Energinet),SMXBID-2608,113886,Resolved,Trivial,Done,18/Aug/21 14:16,19/Aug/21 08:57,,,,,,,New Account & Certificate Requests,oh856,XBID-ServiceDesk,,
Customer Service Request,request for a new password : XBID Shipping Module ,SMXBID-2607,113771,Closed,Minor,Rejected,16/Aug/21 14:43,16/Aug/21 14:51,,,,,,,Password Reset & Account Unlock,yn731,XBID-ServiceDesk,,
Customer Service Request,XBID (PROD) Cert Request for SM and CMM (Energinet),SMXBID-2606,113758,Resolved,Trivial,Done,16/Aug/21 09:44,16/Aug/21 10:54,,,,,,,New Account & Certificate Requests,yn731,XBID-ServiceDesk,,
Customer Service Request,XBID Prod Cert Renewal Request for CMM SVK,SMXBID-2605,113757,Resolved,Trivial,Done,16/Aug/21 09:33,16/Aug/21 13:50,,,,,,,New Account & Certificate Requests,oh856,XBID-ServiceDesk,,
Customer Service Request,Expiring certificates,SMXBID-2604,113752,Resolved,Trivial,Done,16/Aug/21 08:24,23/Aug/21 15:52,,,,,,,New Account & Certificate Requests,oh856,XBID-ServiceDesk,,
Customer Service Request,XBID Production Cert Request,SMXBID-2603,113736,Resolved,Trivial,Done,13/Aug/21 12:59,16/Aug/21 10:24,,,,,,,New Account & Certificate Requests,yn731,XBID-ServiceDesk,,
Customer Service Request,"XBID PROD Cert Request, SOB/SM, BSP",SMXBID-2602,113725,Resolved,Trivial,Done,13/Aug/21 09:10,13/Aug/21 10:01,,,,,,,New Account & Certificate Requests,yn731,XBID-ServiceDesk,,
Customer Service Request,New SOB and SM Users Creation Request,SMXBID-2601,113718,Closed,Trivial,,12/Aug/21 16:50,,,,,,,,New Account & Certificate Requests,,XBID-ServiceDesk,,
Customer Service Request,IC SMS & EMAIL invites - amendment,SMXBID-2600,113716,Resolved,Minor,Done,12/Aug/21 16:24,17/Aug/21 09:23,,,,,,,AlarmTilt Requests,oh856,XBID-ServiceDesk,,
Customer Service Request,cancellation of JIRA account,SMXBID-2599,113699,Closed,Trivial,Done,12/Aug/21 09:38,12/Aug/21 10:38,,,,,,,New Account & Certificate Requests,oh856,XBID-ServiceDesk,,
Customer Service Request,Renewal of PROD SOB certificates,SMXBID-2598,113671,Resolved,Trivial,Done,11/Aug/21 11:48,11/Aug/21 12:56,,,,,,,New Account & Certificate Requests,oh856,XBID-ServiceDesk,,
Customer Service Request,Hibernation orders SOB in case of LTS failover,SMXBID-2597,113656,Resolved,Minor,Done,10/Aug/21 17:53,13/Aug/21 09:33,,,,,,,Information Request,yn731,XBID-ServiceDesk,,
Customer Service Request,"XBID PROD Cert Request for CMM, Litgrid",SMXBID-2595,113642,Resolved,Trivial,Done,10/Aug/21 15:15,12/Aug/21 11:00,,,,,,,New Account & Certificate Requests,yn731,XBID-ServiceDesk,,
Customer Service Request,New IMT certificate,SMXBID-2594,113629,Closed,Trivial,Done,10/Aug/21 11:57,30/Aug/21 12:22,,,,,,,New Account & Certificate Requests,mv635,XBID-ServiceDesk,,
Customer Service Request,New certificates for CMM,SMXBID-2593,113628,Resolved,Trivial,Done,10/Aug/21 11:50,12/Aug/21 10:54,,,,,,,New Account & Certificate Requests,yn731,XBID-ServiceDesk,,
Customer Service Request,"Production env., DBAG Jira; unlock account and reset password",SMXBID-2592,113574,Closed,Minor,Done,08/Aug/21 10:04,09/Aug/21 09:44,,,,,,,Password Reset & Account Unlock,oh856,XBID-ServiceDesk,,
Customer Service Request,New certificate,SMXBID-2591,113515,Resolved,Trivial,Done,05/Aug/21 11:08,11/Aug/21 10:46,,,,,,,New Account & Certificate Requests,oh856,XBID-ServiceDesk,,
Customer Service Request,CUTE PX Shipping module password reset,SMXBID-2589,113484,Resolved,Minor,Rejected,04/Aug/21 12:47,04/Aug/21 14:42,,,,,,,Password Reset & Account Unlock,yn731,XBID-ServiceDesk,,
Customer Service Request,Unlock XBID account,SMXBID-2588,113474,Closed,Minor,Rejected,04/Aug/21 10:00,04/Aug/21 10:15,,,,,,,Password Reset & Account Unlock,oh856,XBID-ServiceDesk,,
Incident,Minor Incident - SOB - Webgui - EPEX (NEMO) - EPEX LTS disconnected from RabbitMQ,SMXBID-2587,113425,Closed,Minor,Resolved,03/Aug/21 12:27,05/Aug/21 12:48,,,,,,, Minor Incident,ub113,XBID-ServiceDesk,,
Customer Service Request,XBID Prod - Cert Request for SM and CMM for Amprion,SMXBID-2586,113388,Resolved,Trivial,Done,02/Aug/21 14:47,02/Aug/21 15:51,,,,,,,New Account & Certificate Requests,oh856,XBID-ServiceDesk,,
Customer Service Request,Problems with access to SM in CUTEPX,SMXBID-2585,113361,Resolved,Minor,Rejected,30/Jul/21 23:23,02/Aug/21 08:41,,,,,,,Password Reset & Account Unlock,yn731,XBID-ServiceDesk,,
