region,tenure,age,marital,address,income,ed,employ,retire,gender,reside,tollfree,equip,callcard,wireless,longmon,tollmon,equipmon,cardmon,wiremon,longten,tollten,equipten,cardten,wireten,multline,voice,pager,internet,callid,callwait,forward,confer,ebill,loglong,logtoll,logequi,logcard,logwire,lninc,custcat,churn
Zone 2,5,33,Unmarried,10,125,College degree,5,No,Female,1,No,Yes,No,No,4.85,0,26.15,0,0,17.25,0,110.1,0,0,No,No,Yes,Yes,No,No,No,No,Yes,1.57897870494939, ,3.26384919051093, , ,4.8283137373023,Basic service,Yes
Zone 3,7,35,Unmarried,14,80,High school degree,15,No,Female,1,Yes,No,Yes,No,7.1,22,0,23.75,0,47.45,166.1,0,145,0,No,Yes,No,No,Yes,Yes,Yes,Yes,No,1.96009478404727,3.09104245335832, ,3.16758253048065, ,4.38202663467388,Plus service,No
Zone 1,41,38,Married,8,37,High school degree,9,No,Female,3,No,No,Yes,No,8.55,0,0,41.75,0,308.7,0,0,1650,0,No,No,No,No,No,No,No,No,No,2.14593128294867, , ,3.73169945129686, ,3.61091791264422,Basic service,No
Zone 2,57,54,Married,30,115,College degree,23,No,Female,3,Yes,Yes,No,Yes,15.6,46.25,46.7,0,61.05,825.35,2624.25,2590.95,0,3348.85,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2.74727091425549,3.83406146395843,3.84374416467485, ,4.11169320055671,4.74493212836325,Total service,Yes
Zone 2,9,46,Unmarried,3,25,Did not complete high school,8,No,Female,2,No,No,No,No,4.4,0,0,0,0,36.8,0,0,0,0,No,No,No,No,No,No,No,No,No,1.48160454092422, , , , ,3.2188758248682,Basic service,No
Zone 1,29,38,Married,12,75,Post-undergraduate degree,1,No,Male,4,No,Yes,Yes,No,5.1,0,30.25,11.25,0,146.25,0,780.8,295,0,Yes,No,No,Yes,No,No,No,No,No,1.62924053973028, ,3.40949618447685,2.42036812865043, ,4.31748811353631,E-service,No
Zone 3,60,57,Unmarried,38,162,High school degree,30,No,Male,1,Yes,Yes,Yes,No,16.15,29.75,31.3,30,0,946.9,1767.6,1788.95,1795,0,Yes,No,No,No,Yes,Yes,Yes,Yes,No,2.78192004966867,3.39282913199164,3.44361809754611,3.40119738166216, ,5.08759633523238,Plus service,No
Zone 3,34,48,Unmarried,3,49,High school degree,6,No,Female,3,Yes,No,No,No,6.65,18.5,0,0,0,230.8,614.3,0,0,0,No,No,No,No,No,Yes,Yes,Yes,No,1.89461685466776,2.91777073208428, , , ,3.89182029811063,Plus service,No
Zone 2,1,24,Unmarried,3,20,Did not complete high school,3,No,Male,1,No,No,No,No,1.05,0,0,0,0,1.05,0,0,0,0,No,No,No,No,No,No,No,No,No,.048790164169432, , , , ,2.99573227355399,Basic service,No
Zone 1,26,29,Married,3,77,College degree,2,No,Male,4,No,Yes,Yes,Yes,6.7,0,48.1,24.25,38.3,140.95,0,1132.8,610,910.1,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,1.90210752639692, ,3.87328217711172,3.18841661738349,3.6454498961866,4.34380542185368,Total service,Yes
Zone 3,6,30,Unmarried,7,16,Some college,1,No,Female,1,No,Yes,No,Yes,3.75,0,33.8,0,18.7,25.65,0,175.3,0,78.2,Yes,No,Yes,Yes,No,Yes,No,No,No,1.32175583998232, ,3.52046080248897, ,2.92852352386054,2.77258872223978,E-service,Yes
Zone 1,68,52,Married,17,120,Did not complete high school,24,No,Male,2,No,No,Yes,No,20.7,0,0,22,0,1391.05,0,0,1505,0,No,No,No,No,No,No,Yes,No,No,3.03013370027132, , ,3.09104245335832, ,4.78749174278205,Basic service,No
Zone 3,53,33,Unmarried,10,101,Post-undergraduate degree,4,No,Female,2,No,Yes,Yes,Yes,5.3,0,49.6,26.75,51.4,253.35,0,2499.8,1340,2645.15,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,1.66770682055808, ,3.90399083373088,3.28653447334202,3.93963817246112,4.61512051684126,Total service,No
Zone 3,55,48,Married,19,67,Did not complete high school,25,No,Male,3,No,No,Yes,No,15.05,0,0,27.25,0,810.45,0,0,1390,0,No,No,No,No,No,No,No,No,No,2.71137799119488, , ,3.30505352110925, ,4.20469261939097,Basic service,No
Zone 3,14,43,Married,18,36,Did not complete high school,5,No,Male,5,Yes,No,Yes,No,12.5,19.75,0,18,0,153.75,273.75,0,215,0,No,No,No,No,Yes,Yes,Yes,Yes,No,2.52572864430826,2.98315349134713, ,2.89037175789616, ,3.58351893845611,Plus service,No
Zone 2,1,21,Unmarried,0,33,High school degree,0,No,Female,3,Yes,No,Yes,No,2.2,20.75,0,40.5,0,2.2,20.75,0,40.5,0,No,No,No,No,No,Yes,Yes,Yes,No,.78845736036427,3.03254624667671, ,3.70130197411249, ,3.49650756146648,Plus service,No
Zone 2,42,40,Unmarried,7,37,High school degree,8,No,Female,1,Yes,Yes,Yes,Yes,8.25,23.5,36.9,28,37.4,399.15,950.65,1532.9,1190,1562,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,2.11021320034659,3.15700042115011,3.60821155104648,3.3322045101752,3.62167070442049,3.61091791264422,Total service,No
Zone 3,25,33,Married,11,31,Did not complete high school,5,No,Male,4,No,No,No,No,9.1,0,0,0,0,234.95,0,0,0,0,Yes,No,No,No,Yes,No,Yes,No,No,2.2082744135228, , , , ,3.43398720448515,Plus service,No
Zone 1,9,21,Married,1,17,High school degree,2,No,Female,3,No,No,No,No,2.9,0,0,0,0,25.25,0,0,0,0,No,No,No,No,Yes,No,No,No,No,1.06471073699243, , , , ,2.83321334405622,Basic service,No
Zone 2,13,33,Married,9,19,College degree,0,No,Female,2,No,Yes,No,No,5.55,0,27.35,0,0,75.25,0,330.65,0,0,Yes,No,No,Yes,No,No,No,Yes,Yes,1.71379792775834, ,3.30871652886799, , ,2.94443897916644,E-service,No
Zone 1,56,37,Married,6,36,Did not complete high school,13,No,Female,2,No,Yes,Yes,No,10.6,0,31.1,18.25,0,582.6,0,1756.35,1005,0,Yes,No,No,Yes,No,No,No,No,Yes,2.36085400111802, ,3.43720781918519,2.9041650800285, ,3.58351893845611,E-service,No
Zone 1,71,53,Married,27,155,Post-undergraduate degree,12,No,Male,2,Yes,No,Yes,Yes,21,56,0,34,49.95,1519.2,4064.3,0,2345,3646.9,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,3.04452243772342,4.02535169073515, ,3.52636052461616,3.91102250509456,5.04342511691925,Total service,No
Zone 1,35,50,Married,26,140,High school degree,21,No,Female,4,Yes,No,Yes,No,6.5,27.5,0,35,0,247.55,1068.25,0,1215,0,No,No,No,No,No,Yes,Yes,Yes,No,1.87180217690159,3.31418600467253, ,3.55534806148941, ,4.9416424226093,Plus service,No
Zone 1,11,27,Married,8,55,Post-undergraduate degree,0,No,Male,3,No,Yes,No,No,4.8,0,19.55,0,0,54.1,0,220.4,0,0,Yes,No,No,Yes,No,No,No,No,No,1.56861591791385, ,2.97297528643137, , ,4.00733318523247,E-service,No
Zone 2,60,46,Married,13,163,Some college,24,No,Male,2,Yes,Yes,Yes,Yes,33.9,38.25,44.65,13.75,55.25,1947.95,2326.35,2645.85,840,3125.95,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,3.5234150143864,3.64414356027254,3.79885430732251,2.62103882411258,4.01186834039786,5.09375020080676,Total service,No
Zone 3,20,35,Married,11,52,College degree,0,No,Male,2,No,Yes,No,No,4.25,0,30.55,0,0,82.7,0,547.15,0,0,Yes,No,No,Yes,No,No,No,No,Yes,1.44691898293633, ,3.4193646856176, , ,3.95124371858143,E-service,Yes
Zone 2,54,60,Unmarried,38,211,College degree,25,No,Male,1,Yes,Yes,Yes,Yes,21.15,39.25,46.35,54.25,54.85,1228.7,2102.25,2421.3,2785,2895.85,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,3.05163990549229,3.66995144422842,3.83622129201186,3.99360299242057,4.00460218672124,5.35185813347607,Total service,No
Zone 1,44,57,Married,1,186,High school degree,17,No,Male,2,Yes,No,Yes,Yes,9.8,33.5,0,36,41.65,428.25,1379.55,0,1535,1826.7,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,2.28238238567653,3.51154543883102, ,3.58351893845611,3.72930136861285,5.2257466737132,Plus service,No
Zone 1,11,41,Married,0,39,Did not complete high school,1,No,Female,2,Yes,No,Yes,No,6.55,29.25,0,19.75,0,67.8,303.65,0,200,0,No,Yes,No,No,Yes,Yes,Yes,Yes,No,1.87946504964716,3.37587957367787, ,2.98315349134713, ,3.66356164612965,Plus service,Yes
Zone 2,72,57,Unmarried,34,22,High school degree,35,Yes,Female,1,Yes,No,Yes,No,41.75,49,0,18.75,0,3043.05,3581,0,1360,0,Yes,No,No,No,Yes,Yes,Yes,Yes,No,3.73169945129686,3.89182029811063, ,2.93119375241642, ,3.09104245335832,Plus service,No
Zone 3,10,41,Unmarried,7,30,Did not complete high school,7,No,Male,1,Yes,No,Yes,No,2.5,19.25,0,53.75,0,31.25,178.2,0,490,0,No,No,No,No,Yes,Yes,Yes,Yes,No,.916290731874155,2.95751106073379, ,3.98434366700777, ,3.40119738166216,Plus service,No
Zone 2,15,28,Unmarried,0,29,High school degree,4,No,Female,1,Yes,No,Yes,No,4.25,30,0,17.75,0,78,426.05,0,255,0,No,No,No,No,Yes,Yes,Yes,Yes,No,1.44691898293633,3.40119738166216, ,2.87638551592142, ,3.36729582998647,Plus service,No
Zone 2,27,28,Married,4,23,High school degree,8,No,Male,5,No,No,No,No,6.2,0,0,0,0,180.15,0,0,0,0,No,No,No,No,Yes,No,No,No,No,1.82454929205105, , , , ,3.13549421592915,Basic service,No
Zone 1,9,36,Married,14,62,College degree,10,No,Male,6,No,Yes,No,Yes,5.65,0,46.75,0,48.5,43.3,0,386.6,0,364.85,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,1.73165554515835, ,3.8448142557347, ,3.88156379794344,4.12713438504509,Total service,Yes
Zone 1,64,43,Married,20,76,College degree,20,No,Female,4,Yes,No,Yes,No,14.7,18.75,0,11,0,897.05,1279.25,0,680,0,Yes,No,No,No,Yes,Yes,No,Yes,No,2.68784749378469,2.93119375241642, ,2.39789527279837, ,4.33073334028633,Plus service,No
Zone 1,65,41,Married,3,74,College degree,16,No,Male,2,No,Yes,Yes,No,14.5,0,37,17,0,963.3,0,2263.05,1065,0,Yes,Yes,No,Yes,No,No,No,No,Yes,2.67414864942653, ,3.61091791264422,2.83321334405622, ,4.30406509320417,E-service,No
Zone 1,49,51,Married,27,63,College degree,19,No,Male,5,Yes,No,Yes,No,12.85,25.75,0,14.25,0,585.6,1278.45,0,635,0,Yes,No,No,Yes,No,Yes,No,No,Yes,2.55334381134123,3.24843462710975, ,2.65675690671466, ,4.14313472639153,E-service,No
Zone 3,47,41,Married,0,36,College degree,8,No,Male,2,No,Yes,Yes,Yes,7.75,0,37.45,18.5,38.8,361,0,1717.75,845,1730.4,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,2.04769284336526, ,3.62300670996323,2.91777073208428,3.65842024662923,3.58351893845611,Total service,Yes
Zone 3,9,34,Married,9,33,High school degree,8,No,Female,4,No,Yes,No,No,2.95,0,22.95,0,0,18.9,0,208.55,0,0,No,No,No,No,No,No,No,No,No,1.08180517035173, ,3.13331793650655, , ,3.49650756146648,Basic service,Yes
Zone 1,5,36,Unmarried,14,29,High school degree,9,No,Female,1,Yes,No,Yes,Yes,3.25,31.5,0,15.5,26.75,16.8,154.65,0,60,98.6,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,1.17865499634165,3.44998754583159, ,2.7408400239252,3.28653447334202,3.36729582998647,Plus service,Yes
Zone 2,30,34,Married,4,27,High school degree,1,No,Male,5,No,Yes,No,No,6.3,0,22.5,0,0,150.9,0,690.75,0,0,No,No,No,Yes,No,No,No,No,No,1.84054963339749, ,3.11351530921037, , ,3.29583686600433,Basic service,Yes
Zone 1,56,52,Married,28,49,High school degree,12,No,Male,4,No,No,Yes,No,24.75,0,0,22.25,0,1349.05,0,0,1215,0,Yes,No,No,No,No,No,No,No,No,3.2088254890147, , ,3.10234200861225, ,3.89182029811063,E-service,No
Zone 3,10,22,Unmarried,0,24,College degree,0,No,Male,1,Yes,Yes,Yes,Yes,7.8,23.75,37.25,22.5,30.05,63,222.55,330.4,185,306.3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2.05412373369555,3.16758253048065,3.61765194482557,3.11351530921037,3.40286266098122,3.17805383034795,Total service,No
Zone 1,7,26,Married,3,26,High school degree,2,No,Male,5,Yes,No,No,No,4.85,15.5,0,0,0,33.7,136.55,0,0,0,No,No,No,No,No,Yes,No,No,No,1.57897870494939,2.7408400239252, , , ,3.25809653802148,Basic service,No
Zone 1,52,27,Unmarried,6,47,Some college,5,No,Male,2,Yes,No,Yes,No,6.25,18.5,0,14.25,0,330.4,942.65,0,725,0,No,No,No,No,Yes,No,No,No,Yes,1.83258146374831,2.91777073208428, ,2.65675690671466, ,3.85014760171006,Basic service,No
Zone 2,36,45,Married,1,94,High school degree,18,No,Female,5,Yes,Yes,No,No,7.2,15.75,28.35,0,0,258.75,553.8,1043.8,0,0,No,No,Yes,Yes,Yes,No,No,Yes,No,1.97408102602201,2.75684036527164,3.34462703017376, , ,4.54329478227,Basic service,Yes
Zone 3,27,34,Unmarried,8,21,Some college,4,No,Female,1,No,No,No,No,7.65,0,0,0,0,213.45,0,0,0,0,Yes,No,No,No,No,No,No,No,No,2.03470564783844, , , , ,3.04452243772342,E-service,No
Zone 1,58,62,Married,36,27,Did not complete high school,0,No,Male,2,No,No,Yes,No,15.5,0,0,34.5,0,967.1,0,0,1910,0,No,No,No,No,No,No,No,No,No,2.7408400239252, , ,3.54095932403731, ,3.29583686600433,Basic service,No
Zone 2,41,52,Unmarried,27,30,High school degree,2,No,Female,1,Yes,No,Yes,Yes,10.4,28,0,19,27.5,447.85,1152,0,800,1036.65,No,No,No,No,Yes,Yes,Yes,Yes,No,2.34180580614733,3.3322045101752, ,2.94443897916644,3.31418600467253,3.40119738166216,Plus service,No
Zone 2,47,40,Married,16,127,College degree,12,No,Female,4,No,Yes,Yes,No,19.7,0,28.15,14.75,0,909.9,0,1319.7,680,0,Yes,No,No,Yes,No,No,No,No,Yes,2.98061863574394, ,3.3375473545857,2.69124308278583, ,4.84418708645859,E-service,No
Zone 2,55,39,Married,15,137,High school degree,20,No,Female,2,Yes,No,Yes,No,12.7,27.5,0,11.5,0,676.9,1505.2,0,620,0,No,Yes,No,No,Yes,Yes,Yes,Yes,No,2.54160199346455,3.31418600467253, ,2.4423470353692, ,4.91998092582813,Plus service,Yes
Zone 2,56,50,Married,1,80,High school degree,24,No,Female,4,Yes,No,Yes,Yes,28.8,55.5,0,21.25,61.1,1558.1,3119.45,0,1065,3268.05,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,3.3603753871419,4.01638302075239, ,3.05635689537043,4.11251186617755,4.38202663467388,Total service,No
Zone 3,35,55,Unmarried,24,30,High school degree,2,No,Male,1,No,No,Yes,No,10.25,0,0,15.75,0,395.85,0,0,550,0,No,No,No,No,No,No,No,No,No,2.32727770558442, , ,2.75684036527164, ,3.40119738166216,Basic service,No
Zone 2,69,51,Married,11,438,College degree,23,No,Female,2,No,Yes,Yes,No,29,0,47.05,24.75,0,1815.4,0,3064.15,1655,0,Yes,No,Yes,Yes,Yes,No,No,Yes,No,3.36729582998647, ,3.85121086603139,3.2088254890147, ,6.08221891037645,Total service,No
Zone 2,44,39,Unmarried,16,79,High school degree,16,No,Male,1,Yes,Yes,Yes,Yes,15.25,24.5,37.45,27.25,30.05,653.7,1037.45,1610.1,1110,1280,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2.72457950305342,3.19867311755068,3.62300670996323,3.30505352110925,3.40286266098122,4.36944785246702,Total service,Yes
Zone 3,36,47,Married,16,63,Did not complete high school,23,No,Male,2,No,No,Yes,No,9.05,0,0,6.75,0,373.65,0,0,220,0,No,No,No,No,No,No,No,No,No,2.20276475771183, , ,1.90954250488444, ,4.14313472639153,Basic service,No
Zone 3,28,51,Married,22,40,Some college,10,No,Female,6,Yes,No,No,No,8.95,21.25,0,0,0,253.55,586.95,0,0,0,No,No,No,No,Yes,Yes,Yes,Yes,No,2.19165353228676,3.05635689537043, , , ,3.68887945411394,Plus service,No
Zone 1,72,67,Married,44,51,Did not complete high school,34,Yes,Male,2,Yes,No,Yes,No,57.05,51.5,0,19.25,0,4168.25,3657.9,0,1345,0,Yes,No,No,No,Yes,Yes,Yes,Yes,No,4.04392807630808,3.94158180766969, ,2.95751106073379, ,3.93182563272433,Plus service,No
Zone 1,16,27,Unmarried,5,37,Some college,5,No,Male,4,No,No,No,No,6,0,0,0,0,80.7,0,0,0,0,No,No,No,No,No,No,No,No,No,1.79175946922805, , , , ,3.61091791264422,Basic service,No
Zone 3,3,43,Unmarried,19,61,College degree,11,No,Female,1,No,Yes,Yes,Yes,3.15,0,27.25,16.25,17.95,7.9,0,53.25,20,38.2,No,No,No,Yes,Yes,No,No,Yes,Yes,1.14740245283754, ,3.30505352110925,2.78809290877575,2.88759011493429,4.11087386417331,Basic service,Yes
Zone 1,40,57,Married,15,22,High school degree,9,No,Male,2,No,No,Yes,No,8.55,0,0,19.75,0,381.5,0,0,710,0,No,No,No,No,No,No,No,No,No,2.14593128294867, , ,2.98315349134713, ,3.09104245335832,Basic service,No
Zone 3,16,39,Unmarried,6,44,College degree,3,No,Female,1,No,Yes,No,No,6.6,0,23.3,0,0,96.3,0,350.15,0,0,Yes,No,No,Yes,No,No,No,No,Yes,1.88706964903238, ,3.14845336057165, , ,3.78418963391826,E-service,No
Zone 1,20,42,Unmarried,4,17,Some college,5,No,Male,1,No,No,No,No,7.8,0,0,0,0,175.85,0,0,0,0,No,No,No,No,No,No,No,No,No,2.05412373369555, , , , ,2.83321334405622,Basic service,No
Zone 2,48,43,Unmarried,13,110,Post-undergraduate degree,15,No,Female,3,No,Yes,No,Yes,7.25,0,33.5,0,20.65,359.35,0,1572.7,0,1010.4,Yes,Yes,No,Yes,No,No,No,No,Yes,1.98100146886658, ,3.51154543883102, ,3.02771531940704,4.70048036579242,E-service,No
Zone 2,64,48,Married,13,91,High school degree,24,No,Male,2,Yes,No,Yes,Yes,24.5,24.75,0,12.5,29.65,1531.9,1569.25,0,780,1875.95,Yes,No,No,No,Yes,Yes,Yes,Yes,No,3.19867311755068,3.2088254890147, ,2.52572864430826,3.38946212544373,4.51085950651685,Plus service,No
Zone 1,8,46,Unmarried,3,46,High school degree,8,No,Male,1,No,Yes,No,No,3.15,0,25.05,0,0,16.65,0,172.05,0,0,No,No,Yes,Yes,No,No,No,No,Yes,1.14740245283754, ,3.22087382753087, , ,3.8286413964891,Basic service,No
Zone 1,40,38,Married,10,85,Some college,12,No,Male,2,No,No,No,No,10.6,0,0,0,0,384.8,0,0,0,0,No,No,No,No,Yes,Yes,Yes,Yes,No,2.36085400111802, , , , ,4.44265125649032,Plus service,Yes
Zone 2,38,71,Unmarried,27,10,High school degree,12,Yes,Male,1,No,No,No,No,11.2,0,0,0,0,429.85,0,0,0,0,No,No,No,No,No,No,No,Yes,No,2.41591377830105, , , , ,2.30258509299405,Basic service,No
Zone 1,67,68,Unmarried,28,244,Did not complete high school,47,No,Female,1,Yes,No,Yes,No,30.25,30.25,0,30.75,0,2186.2,2036.15,0,2105,0,No,Yes,No,No,Yes,Yes,Yes,Yes,No,3.40949618447685,3.40949618447685, ,3.42588999425253, ,5.4971682252932,Plus service,No
Zone 1,26,42,Unmarried,0,80,College degree,15,No,Female,1,Yes,Yes,Yes,Yes,7.85,44,49.6,10.5,43.75,196.65,1123.25,1159.35,250,1176.55,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2.06051353179432,3.78418963391826,3.90399083373088,2.35137525716348,3.77849161280362,4.38202663467388,Total service,No
Zone 3,41,34,Married,15,83,Post-undergraduate degree,1,No,Female,2,Yes,No,Yes,No,8.9,33.75,0,5.75,0,379.55,1404.45,0,220,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,2.18605127673809,3.51898041731854, ,1.74919985480926, ,4.4188406077966,Total service,No
Zone 2,2,31,Unmarried,2,21,Did not complete high school,6,No,Male,1,No,Yes,No,No,1.65,0,21.6,0,0,3.2,0,17.25,0,0,No,No,No,No,No,No,No,Yes,No,.500775287912489, ,3.07269331469012, , ,3.04452243772342,Basic service,Yes
Zone 3,20,48,Married,29,24,High school degree,3,No,Male,2,Yes,No,Yes,No,11.85,22.5,0,35,0,230.7,452.75,0,675,0,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,2.47232786758114,3.11351530921037, ,3.55534806148941, ,3.17805383034795,Total service,Yes
Zone 2,31,53,Unmarried,2,351,Some college,31,No,Female,1,Yes,No,Yes,No,5.5,31.5,0,19.25,0,185.3,1009.9,0,585,0,No,No,Yes,No,Yes,Yes,Yes,Yes,No,1.70474809223843,3.44998754583159, ,2.95751106073379, ,5.86078622346587,Plus service,No
Zone 2,45,52,Married,4,169,College degree,29,No,Female,4,No,Yes,Yes,No,14.65,0,40.45,14.25,0,618.15,0,1820.4,690,0,Yes,No,No,Yes,No,No,No,No,No,2.68444033546308, ,3.7000666435045,2.65675690671466, ,5.12989871492307,E-service,No
Zone 2,33,27,Married,7,46,High school degree,7,No,Male,4,No,Yes,No,No,7.25,0,29.15,0,0,243.35,0,923.85,0,0,No,No,No,No,No,No,No,No,Yes,1.98100146886658, ,3.3724549127965, , ,3.8286413964891,Basic service,No
Zone 1,10,26,Unmarried,6,34,Some college,3,No,Male,1,No,Yes,No,No,4.85,0,27.7,0,0,41.85,0,223.05,0,0,Yes,No,No,No,No,No,No,No,No,1.57897870494939, ,3.32143241319329, , ,3.52636052461616,E-service,No
Zone 2,62,54,Married,2,50,College degree,3,No,Male,2,No,Yes,Yes,Yes,17.25,0,48,87.5,33.25,1067.8,0,2864.15,5455,2022.55,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,2.84781214347737, ,3.87120101090789,4.47163879336357,3.50405476710186,3.91202300542815,Total service,Yes
Zone 2,4,35,Unmarried,16,161,Post-undergraduate degree,6,No,Female,1,Yes,Yes,No,Yes,3.4,23.75,49.8,0,35.75,10.35,103.1,126.95,0,135.25,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1.22377543162212,3.16758253048065,3.90801498403061, ,3.57655026914002,5.08140436498446,Total service,Yes
Zone 1,42,47,Married,17,212,College degree,17,No,Male,2,Yes,No,Yes,No,7.45,26.75,0,24.75,0,320.9,1163.55,0,1035,0,No,No,No,No,Yes,Yes,Yes,No,No,2.00821403239147,3.28653447334202, ,3.2088254890147, ,5.35658627467201,Plus service,No
Zone 3,27,51,Married,3,80,Post-undergraduate degree,11,No,Male,3,No,Yes,No,No,7.1,0,39.4,0,0,176.2,0,1086.65,0,0,Yes,No,Yes,Yes,No,No,No,No,Yes,1.96009478404727, ,3.67376581630389, , ,4.38202663467388,E-service,No
Zone 2,38,42,Unmarried,1,30,College degree,7,No,Female,1,Yes,No,No,No,13.2,27.5,0,0,0,495.85,1087.9,0,0,0,No,No,No,No,No,Yes,No,No,No,2.58021682959233,3.31418600467253, , , ,3.40119738166216,Basic service,No
Zone 3,52,61,Married,3,53,Post-undergraduate degree,1,No,Female,2,No,Yes,Yes,Yes,12.25,0,38.4,8.75,35.95,631.7,0,1884.1,465,1971.35,Yes,Yes,No,Yes,No,No,No,Yes,Yes,2.50552593699074, ,3.64805745959368,2.16905370036952,3.58212908416706,3.97029191355212,E-service,No
Zone 3,35,33,Unmarried,9,73,Post-undergraduate degree,4,No,Female,1,Yes,No,Yes,Yes,5.85,38.25,0,22.25,40.35,216.6,1337.6,0,700,1423.8,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1.76644166124377,3.64414356027254, ,3.10234200861225,3.69759139471596,4.29045944114839,Total service,No
Zone 3,3,20,Married,1,17,High school degree,0,No,Female,4,No,No,No,No,3.75,0,0,0,0,12.3,0,0,0,0,No,No,No,No,No,No,No,No,Yes,1.32175583998232, , , , ,2.83321334405622,Basic service,Yes
Zone 2,17,33,Unmarried,9,23,Post-undergraduate degree,3,No,Male,1,No,Yes,Yes,Yes,10.2,0,36.4,14.5,30.9,196.3,0,570.9,220,529.25,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,2.32238772029023, ,3.5945687746427,2.67414864942653,3.4307561839037,3.13549421592915,Total service,Yes
