case,weighta,weightq,a049,a062,a071,a121,a124,a1661,a172,b010,b1661,b216,b260,g018,g019,c11111,c11121,c11122,c11131,c11141,c11142,c11151,c11211,c11221,c11231,c11241,c11251,c11252,c11253,c11311,c11321,c11331,c11341,c11411,c11421,c11431,c11441,c11451,c11461,c11471,c11511,c11521,c11522,c11531,c11541,c11551,c11611,c11621,c11631,c11641,c11651,c11661,c11671,c11681,c11691,c11711,c11721,c11731,c11741,c11751,c11761,c11771,c11781,c11811,c11821,c11831,c11841,c11851,c11861,c11911,c11921,c11931,c11941,c12111,c12121,c12131,c12211,c12221,c12231,c12241,c21111,c21211,c21212,c21213,c21214,c21221,c21311,c22111,c22121,c22131,cb1111,cb1112,cb1113,cb1114,cb1115,cb1116,cb111c,cb111d,cb111e,cb111f,cb111g,cb111h,cb111i,cb111j,cb1121,cb1122,cb1123,cb1124,cb1125,cb1126,cb1127,cb1128,cb112b,cb1213,c31111,c31211,c31212,c31221,c31222,c31231,c31232,c31233,c31234,c31311,c31312,c31313,c31314,c31315,c31411,c31412,c31413,c32111,c32121,c32131,c32211,c41211,c43111,c43112,c44211,c45112,c45114,c45212,c45214,c45222,c45312,c45411,c45412,c45511,c51113,c51114,c51212,c51311,c52111,c52112,c53111,c53121,c53122,c53131,c53132,c53133,c53141,c53151,c53161,c53171,c53211,c53311,c53312,c53313,c53314,c54111,c54121,c54131,c54132,c54141,c55111,c55112,c55211,c55212,c55213,c55214,c56111,c56112,c56121,c56122,c56123,c56124,c56125,c56211,c56221,c56222,c56223,c61111,c61112,c61211,c61311,c61312,c61313,c62111,c62112,c62113,c62114,c62211,c62212,c62311,c62321,c62322,c62331,c63111,c71112,c71122,c71212,c71311,c71411,c72111,c72112,c72113,c72114,c72115,c72211,c72212,c72213,c72313,c72314,c72411,c72412,c72413,c72414,c73112,c73212,c73213,c73214,c73311,c73312,c73411,c73512,c73513,c73611,c81111,c82111,c82112,c82113,c83112,c83114,c83115,c91111,c91112,c91113,c91121,c91122,c91123,c91124,c91125,c91126,c91127,c91128,c91211,c91221,c91311,c91411,c91412,c91413,c91511,c92111,c92112,c92114,c92116,c92117,c92211,c92221,c92311,c93111,c93112,c93113,c93114,c93211,c93212,c93311,c93312,c93313,c93411,c93412,c93511,c94111,c94112,c94113,c94115,c94211,c94212,c94221,c94232,c94236,c94238,c94239,c94241,c94242,c94243,c94244,c94245,c94246,c94311,c94312,c94313,c94314,c94315,c94316,c94319,c9431a,c9431b,c9431c,c9431d,c9431e,c9431f,c9431i,c95111,c95211,c95212,c95311,c95411,ca1113,ca2113,ca3113,ca4113,ca5113,cb2114,cc1111,cc1211,cc1311,cc1312,cc1313,cc1314,cc1315,cc1316,cc1317,cc3111,cc3112,cc3211,cc3221,cc3222,cc3223,cc3224,cc4111,cc4112,cc4121,cc4122,cc5213,cc5412,cc5413,cc6212,cc6214,cc7111,cc7112,cc7113,cc7114,cc7115,cc7116,ck1211,ck1313,ck1314,ck1315,ck1316,ck1411,ck2111,ck3111,ck3112,ck4111,ck4112,ck5111,ck5113,ck5115,ck5116,ck5212,ck5213,ck5214,ck5215,ck5216,ck5221,ck5222,ck5223,ck5316,a054,a056,a060,a091,a093,a094,p344,p348,p352,p396,sexhrp,a055,a190,gor,gorx,p389,year,p600,p601,p602,p603,p604,p605,p606,p607,p608,p609,p610,p611,p612,p620p,p630p,incanon,a070p,p396p,incranges,se,pt,ft,re,ue,ua,Childband,foodban,ageban
501,4.446875,17.7875,2,One man and 1 woman,Highest age - all male,Other rented unfurnished,1,Home computer present,Internet connection in household,150.01,11.54,0,0,2,0,0,0,0,0,0,0,0.595,0,0,0,0,3.25,0,0,0,0.975,0,0,0,0,0,0,1.995,0.32,0.42,0,0,0,0.69,0,0,0.745,0,0,0,0,0.245,0.095,0,0,1.02,0,0.58,1.275,0,0,0.485,0,0,0,0.55,1.375,0,0,1.5,0,0,0,0,0,0,0,2,0.745,0,0,0,0,0,0,0,0,0,0,0,11.975,0.99,0,0,1.2,0,0,0,0,0,0,0,0,0,0,2.185,0,2.6,2.525,13.135,18.99,0,0,3.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.485,0,0,0,0,0,0,0,0,7.55,0,0,0,0,0,0,0,0,0,0,0,1.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.99,0,0,0,0,0,0,0,0,0,0,0,4.8,0,0,1.45,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0,15,0,0.775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,500 - 524.999 pw,Higher professional (new ) - employees,Fulltime employee,Higher Professionals,784.67,0,784.67,26,Male,October,Home Computer access to NET,North West,North West & Merseyside,583.89,2004,432.21,19.61,0,22.495,161.01,0,0,48.035,16.13,82.35,0,57.475,25.105,21.16,453.37,784.67,26,26,Medium-high income,0,0,1,0,0,0,No children,£ 20 or less,Less than 30 years
503,3.351025,13.4041,2,One man and 1 woman,Highest age - all female,Owned outright,1,Home computer present,Internet connection in household,0,0,0,0,2,0,0,1.245,0.84,0,1.72,0,2.015,6.565,0.91,2.375,0,2.29,0,0,2.615,0,0,0.24,0,5.335,0.555,3.43,1.57,0.67,0.4,0,3.58,0,0,0,0,1.835,0.495,1.105,0.54,0,0.66,0,0,2.65,0.265,1.465,2.615,2.48,0,0.725,2.085,0,0,0.49,0,0,0,0,0,0,0.88,0,0.7,0,0,0,0.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.835,2.585,0.525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.89,0,0,0,0,0,2.985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,3.9,0,5.1,0.495,0,0,0,0,0,0,11.75,0,1.195,0,0.495,0,0,0,0.715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180 - 199.999 pw,Not classifiable for other reasons,Ret unoc over min ni age,Not classifiable for other reasons,336.2865,218.654,336.2865,75,Male,October,Home Computer access to NET,North West,North West & Merseyside,317.784,2004,369.5,62.12,0,3,26.66,197.595,0,16.75,2.19,32.79,0,0,28.395,20.09,389.59,336.2865,80,75,Medium-low income,0,0,0,1,0,0,No children,More than £ 60,More than 55 years
533,5.85635,23.4254,3,Three adults,Highest age - all male,Owned with mortgage,1,Home computer present,Internet connection in household,0,0,0,0,3,0,0,0.49,0.49,0,0.34,0,0.49,0,0,0,0,0,0,0,0,0,0,0,0,0.515,0,0,0,0,0,0,0.46,0,0,0,0,0,0,0,0,0,0,0,0.36,0,0,0,0,0,0,0,0,0,0,0,5.44,0,0,0,0,0,0,0,0,0,0,0,0.37,0.24,0,0,0,0,0,0,0,0,0,0,0,20.445,0,0,0.275,1.845,0,0,0,0,0,0,0,1.2,6,0,1.2,0,1.805,0,8.725,1.25,0.6,0,0,0,25,0,10,3,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.74,0.94,0.64,0,0,0,0,0,0,0,0,3.2,0,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.47,0,25,0,0,2.64,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,89.995,0,14.49,0.985,0,7.495,0,0,0,0,0,0,0,0,0,16.745,0,0,0,0,0,0.99,0,0,0.315,0,0,0,0,3.65,0,2.825,32.825,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0.5,0.5,0,1,0,0,0,0,0,0,0,0,0.91,0,0,0,0,0,0,0,0,0,22.5,0,2.18,0,4.485,0,0,0,0,7.475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,425 - 449.999 pw,Lower professional & higher technical (t,Fulltime employee,Lower Managerial & Professionals,929.87,0,425.83,23,Female,December,Home Computer access to NET,North West,North West & Merseyside,702.7612,2004,503.545,10.055,0,40.5,14.93,14.32,4.8,51.34,18.85,246.535,4.38,43.345,54.49,84.153,587.698,929.87,29,23,High income,0,0,1,0,0,0,No children,£ 20 or less,Less than 30 years
565,3.664875,14.6595,3,Three adults,Highest age - all male,Owned with mortgage,2,Home computer present,Internet connection in household,0,8.17,0,0,3,0,0,1.115,2.395,0,0.595,0,0,5.645,0,0,4.495,0,0.575,0,0,2.495,0,1.5,0,0.235,0,0,2.33,0,0,0,0.675,0,0,0.425,0,0.425,0.425,0.175,0.495,0,1.495,2.99,0,1.1,0.94,0.89,2.36,2.045,0,0.535,2.23,0.855,0,0,0,1.07,1.495,0,1.63,0,0.205,0,0,0.895,0,0.165,1,0,0,0,1.995,0,2.75,0,0,10.97,27.86,0,0,7.475,0.21,0,0.235,0,2.435,0,0,0,0.6,4.1,0,13.25,0,0,0,0,0.26,0,0.425,24.4,1.05,0,1.1,0,0,0,58.34615385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.5,0,0,0,0,6.48,0,0,0,0,0,0,0,0,0,0,1.845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.49,0,1.97,0.245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,677.8846154,0,0,0,0,15,0,0,0,0,15,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,14.995,2.5,0,0,0,0,0,0,0,1.445,0,0,0,0.5,99.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1.5,0,0,0,27.5,0,2.5,0,0,4.95,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,550 - 574.999 pw,Routine technical,Unemployed,Routine,1371.205,0,1371.205,53,Male,January,Home Computer access to NET,North West,North West & Merseyside,1080.36,2004,1813.400769,48.265,43.575,65.84615385,32.31,145.01,0,718.6146154,14.2,664.31,0,55.54,25.73,284.38,2097.780769,1371.205,53,53,High income,0,0,0,0,1,0,No children,From £ 40 to £ 60,From 30 to 55 years
572,3.985425,15.9417,2,One man and 1 woman,Highest age - all male,Owned with mortgage,0,Home computer present,Internet connection in household,0,5.08,0,0,2,0,0.32,1.27,3.79,1.095,1.63,0,2.225,0,0,0,0,0,0,0,0.695,0,0,0,0,1.03,0,4.09,3.975,1.305,0.34,0,0.46,0,0,0,0,0.81,0.85,0.385,0,0,0,0.66,3.475,0.65,0,0.185,0.185,2.5,0,2.65,0,1,0,0,0.345,1.095,0,0,3.095,0.74,0.715,0,2.13,1.355,0,0,0.16,2.915,0,0,1.84,0,0,0,0,78.25,0,0,0,25.99,0,0,0,0,2.09,0,0,0,0,0,0,1.2,0,0,0,0,0.315,0,1.65,5.165,0,0,0.72,0,7,8,0,0.5,0,0,0,0,0,0.995,0,1.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.99,0,0,0,0,0,0,0,0.795,2.05,0.495,0,0.35,0,0,0,0,0,0,0,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.8,4.4,5.9,0,0,0,0,0,0,0,13.115,0,0,0,0,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.995,4.97,0,0,0,0,0,0,0,0,0,0,9.745,0,0,5.5,0,0,0,0,0,0.345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.63,10.505,3.31,6.87,34.69,0,0,0,0,0,0,0,0,1.5,1.135,7.5,0,0,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,550 - 574.999 pw,Lower professional & higher technical (t,Fulltime employee,Lower Managerial & Professionals,951.945,0,951.945,44,Male,November,Home Computer access to NET,North West,North West & Merseyside,737.18,2004,424.18,48.125,80.09,18.245,30.46,15.96,1.6,32.1,30.315,103.87,0,37.13,26.285,83.572,507.752,951.945,44,44,High income,0,0,1,0,0,0,No children,From £ 40 to £ 60,From 30 to 55 years
582,2.75175,11.007,2,One man and 1 woman,Highest age - all male,Owned outright,1,Home computer present,Internet connection in household,0,0,0,0,2,0,0,1.54,0.32,0,0.3,0,0.545,0.475,1.225,1.475,0,1.37,0.625,0,0,0,0,0,0,2.86,0,0,0.59,1.325,0.62,0,1.38,0,0,0,0.11,0,0.375,0,0.79,0,0.34,0,0,0,0.175,0.25,0.775,1.355,0,0.455,1.295,1.15,0,0,0.495,0.31,0,0,0,0,0.49,0,0,1.1,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,3.95,0,0,0,1.75,0,0,0,0,0,0,0,4.125,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5.766923077,0.845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.315,1.77,0,0,0,0,0,0,0,0,0,0,0.475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.875,0.5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4.15,0,0.985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.92,0,0,0,220 - 239.999 pw,Not classifiable for other reasons,Ret unoc over min ni age,Not classifiable for other reasons,306.724,199.504,306.724,66,Male,July,Home Computer access to NET,North West,North West & Merseyside,286.964,2004,158.6369231,30.335,0,10.61192308,17,6.085,0.475,46,5.54,21.675,0,16.675,4.24,16.25,174.8869231,306.724,66,66,Medium-low income,0,0,0,1,0,0,No children,From £ 20 to £ 40,More than 55 years
584,2.75175,11.007,2,One man and 1 woman,Highest age - all male,Owned outright,0,No home computer,No internet connection,0,0,0,0,2,0,0,3.105,1.25,0,4.78,0,0.63,1.515,2.495,0,0,0,1.3,0.48,0,0,0,0,0,2.375,0,1.095,0.59,0,0.36,0.41,0.17,0,0,0,0,0,0.99,0,0,0,0,0,0.74,0.37,0.35,0.48,0.63,0.79,0,0,0.59,0.75,0,0,0,0.8,0,0,0,0,1.335,0,0.79,0,0,0.495,2.49,0,0,0,0,0,0,0,0,0,0,0,0,5.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.995,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.54,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0.45,1.245,2.84,0.495,0,0,0,0,0,0,0,0,0,0,1,0,0,2.5,0,0,0,31,3.245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.62,0,0,0,0,0,300 - 319.999 pw,Not classifiable for other reasons,Ret unoc over min ni age,Not classifiable for other reasons,359.9315,218.904,359.9315,66,Male,July,Not recorded,North West,North West & Merseyside,344.274,2004,167.93,36.2,0,10.995,28.83,8,2.22,5.71,3.92,22.11,0,5.3,44.645,29.39,197.32,359.9315,66,66,Medium-low income,0,0,0,1,0,0,No children,From £ 20 to £ 40,More than 55 years
586,3.47795,13.9118,2,One man and 1 woman,Highest age - all female,Owned outright,1,No home computer,No internet connection,0,0,0,0,2,0,0,4.725,1.47,0,5.72,0,0.725,0,1.6,0,2.745,0,0.6,0,2.245,0,0,1.49,0,1.265,0,0,1.695,2.115,1.145,0.345,0,0,0,0,0,0.14,0,0.205,0,1.245,0.65,0.745,0,0.235,0.475,0,0.64,0,0,1.005,1.145,3.41,0,0,0.795,1.14,0,0,0.245,0,0,0,0,0,0,0,4.405,0.98,0,4.99,0,0,0,0,0,4.995,0,0,0,35.34,0,2.5,0,1.95,0,1.05,0,0,0,0,1.05,8.98,0,0.8,0,0,0,0.445,2.345,4.6,0,0,0,0,0,0,23.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.25,0.425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3.525,0.75,0.525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.5,0,0,0,0,0,120 - 129.999 pw,Not classifiable for other reasons,Ret unoc over min ni age,Not classifiable for other reasons,185.7065,144.064,185.7065,73,Male,July,Not recorded,North West,North West & Merseyside,182.134,2004,241.105,51.15,9.985,23.99,19.36,1.675,0,0,11.2,46.945,0,59.06,17.74,57.89,298.995,185.7065,74,73,Low income,0,0,0,1,0,0,No children,From £ 40 to £ 60,More than 55 years
609,2.8486,11.3944,4,1 man; 1 woman; 2c,Highest age - all male,Owned with mortgage,2,Home computer present,Internet connection in household,0,0,0,17.5,2,2,0.34,3.09,1.2,0.195,1.105,2.98,1.955,0,0,0,7.515,0,3.09,0.58,0,0,0,3.485,0,1.185,0,1.14,1.17,1.43,0.91,0,0.98,0,0,0,0,0,1.805,1.24,0,0,1.45,0,0,0,1.29,1.565,1.675,1.38,0,0,0.98,2.095,0.365,0,0,0,0.495,0,0,0,0.325,0,0,0.405,0,0,1.67,2.935,0,0,3.99,0,0,0,0,5.49,0,0,0,15.885,0,0,0.5,2.4,0.975,0,5.5,0,0,0,0,43.915,0,0,0,0,0,0,2.4,4.75,0,0,7.1,0,0,0,5,0,0,8.75,0,5,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.165,0,0.34,0,0,0,0,0,0,0,0,0,0.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3.275,0,2.725,0,0,0,0,0,0,0,0,0,1.33,1.63,0,0.39,0.94,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.05,0,0,0,0,0,0,0,2,2,550 - 574.999 pw,Semi-routine operative,Fulltime employee,Semi-Routine,882.52,37.55,882.52,34,Male,March,Home Computer access to NET,North West,North West & Merseyside,677.44,2004,516.5,68.195,9.48,27.75,24.23,2.505,0.39,202.5,3.46,42.005,0,100.925,35.06,138.0175,654.5175,882.52,34,34,High income,0,0,1,0,0,0,Two children,More than £ 60,From 30 to 55 years
613,2.6533,10.6132,1,One man,Highest age - all male,Owned outright,1,No home computer,No internet connection,0,0,0,0,1,0,0,1.435,0.24,0,0,0,0.915,5.48,0,5.29,0,0,0.795,0,0,0,0.895,0.995,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.465,0,0.545,0,0,0.3,0,0.15,0,0.23,0,0,0,0.305,0,0,0.43,0,0,0,0.245,0,0,0,0,0,0,0.385,0,0,0,0,0,0,0,1.045,0,0,0,12.125,0,0,0,0,0,0,0,0,0,0,0,0,14.145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.725,0,0,0,0,0,0,0,0,0,0,2.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.25,0,0,0,0,0.325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0.495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200 - 219.999 pw,Not classifiable for other reasons,Ret unoc over min ni age,Not classifiable for other reasons,197.072,160.142,197.072,78,Male,October,Not recorded,North West,North West & Merseyside,197.072,2004,124.105,22.765,1.045,24.5,9.05,1.725,2.29,9.725,3.44,15.01,0,26.27,8.285,5.18,129.285,214.6678333,78,78,Low income,0,0,0,1,0,0,No children,From £ 20 to £ 40,More than 55 years
626,2.98895,11.9558,1,One man,Highest age - all male,Local Authority rented unfurnished,0,No home computer,No internet connection,26.4,0,0,0,1,0,0,1.465,0.57,0,1.365,0,0.375,0,0,0,0,1.47,0.89,0.445,0,0,0,0.82,0.465,0.21,0,0,1.16,0,0.56,0,1.09,0,0,0,0,0,0.37,0,0,0.545,0,0,0,0,0.195,0.295,0.74,0.875,0,0.31,0.125,0,0,0,0,0,0.845,0,0,0,0,0,0,0,0,0,0.895,0.185,0,0,0,0,1.495,0,0,7.77,0,0,0,1.7,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0.745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.44,1.295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,170 - 179.999 pw,Not classifiable for other reasons,Ret unoc over min ni age,Not classifiable for other reasons,169.462,92.692,169.462,66,Male,September,Not recorded,North West,North West & Merseyside,162.012,2004,91.69,17.85,9.265,1.5,35.67,0.995,0,0.745,5,8.465,0,12.2,0,17.77,109.46,203.7845962,66,66,Low income,0,0,0,1,0,0,No children,£ 20 or less,More than 55 years
